2022/03/31 04:24:56 [error] 1168#11796: *16373 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/about.php"
2022/03/31 04:31:06 [error] 1168#11796: *17123 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/edit.php?post_type=page"
2022/03/31 04:32:27 [error] 1168#11796: *17194 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/about.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/"
2022/03/31 04:32:50 [error] 1168#11796: *17356 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/product-summary.js?ver=6.9.0 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:33:54 [error] 1168#11796: *17590 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-json/wp/v2/widget-types/nav_menu/render?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:34:51 [error] 1168#11796: *17632 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:36:45 [error] 1168#11796: *17721 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/widget-types/text?context=edit&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:37:49 [error] 1168#11796: *17775 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /?customize_changeset_uuid=528272fb-1af5-4a48-bf3d-40c5be4f2ecf&customize_theme=astra&customize_messenger_channel=preview-2&customize_autosaved=on HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:38:36 [error] 1168#11796: *18070 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/about.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/customize.php?return=%2Fwp-admin%2Fabout.php"
2022/03/31 04:39:05 [error] 1168#11796: *18249 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_ces_tracks_queue&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-admin/admin.php?page=wc-admin&path=%2Fanalytics%2Fcategories"
2022/03/31 04:45:34 [error] 1168#11796: *18349 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /contact-us/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/"
2022/03/31 05:35:00 [error] 1168#11796: *18426 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1648697698.3432309627532958984375 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/wp-cron.php?doing_wp_cron=1648697698.3432309627532958984375"
2022/03/31 05:58:05 [error] 1168#11796: *18516 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?redirect_to=http%3A%2F%2Fcasadellerose.local%2Fwp-admin%2F&reauth=1 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local"
2022/03/31 05:58:39 [error] 1168#11796: *18714 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /?wc-ajax=get_refreshed_fragments HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "casadellerose.local", referrer: "http://casadellerose.local/"
